Co Code,Batch ID,File #,Rate Code,Temp Dept,Reg Hours,O/T Hours,Hours 3 Code,Hours 3 Amount,Earnings 3 Code,Earnings 3 Amount,Memo Code,Memo Amount,Special Proc Code,Other Begin Date,Other End Date
FEL,Accrual,786391,2,,,,,,,,PER,40, ,,
FEL,Accrual,541400,2,,,,,,,,PER,40, ,,
FEL,Accrual,639160,2,,,,,,,,PER,18, ,,
FEL,Accrual,523990,2,,,,,,,,PER,45, ,,
K3V,Accrual,585397,2,,,,,,,,PER,40, ,,
K3V,Accrual,744824,2,,,,,,,,PER,40, ,,
FEL,Accrual,539008,2,,,,,,,,PER,32, ,,
,Accrual,552805,2,,,,,,,,PER,40, ,,
FEL,Accrual,741359,2,,,,,,,,PER,62, ,,
FEL,Accrual,233061,2,,,,,,,,PER,40, ,,
FEL,Accrual,521467,2,,,,,,,,PER,45, ,,
FEL,Accrual,749854,2,,,,,,,,PER,40, ,,
FEL,Accrual,525155,2,,,,,,,,PER,45, ,,
FEL,Accrual,520322,2,,,,,,,,PER,45, ,,
FEL,Accrual,626535,2,,,,,,,,PER,11, ,,
FEL,Accrual,745172,2,,,,,,,,PER,40, ,,
K3V,Accrual,501541,2,,,,,,,,PER,40, ,,
FEL,Accrual,538544,2,,,,,,,,PER,44, ,,
K3T,Accrual,722142,2,,,,,,,,PER,40, ,,
K3V,Accrual,584259,2,,,,,,,,PER,40, ,,
FEL,Accrual,740748,2,,,,,,,,PER,27, ,,
FEL,Accrual,210761,2,,,,,,,,PER,27, ,,
FEL,Accrual,782381,2,,,,,,,,PER,45, ,,
FEL,Accrual,586963,2,,,,,,,,PER,36, ,,
FEL,Accrual,826835,2,,,,,,,,PER,33, ,,
FEL,Accrual,592215,2,,,,,,,,PER,42, ,,
K3V,Accrual,776503,2,,,,,,,,PER,40, ,,
FEL,Accrual,775842,2,,,,,,,,PER,16, ,,
FEL,Accrual,671619,2,,,,,,,,PER,44, ,,
FEL,Accrual,807609,2,,,,,,,,PER,40, ,,
FEL,Accrual,690895,,,,,,,,,SCK,51, ,,
FEL,Accrual,690895,,,,,,,,,ACC,0, ,,
FEL,Accrual,794137,,,,,,,,,SCK,17.58, ,,
FEL,Accrual,794137,,,,,,,,,ACC,0.15, ,,
FEL,Accrual,304321,2,,,,,,,,PER,18, ,,
FEL,Accrual,451521,2,,,,,,,,PER,40, ,,
FEL,Accrual,789872,2,,,,,,,,PER,45, ,,
FEL,Accrual,737153,2,,,,,,,,PER,14, ,,
FEL,Accrual,698304,2,,,,,,,,PER,45, ,,
FEL,Accrual,590241,2,,,,,,,,PER,46, ,,
FEL,Accrual,108887,2,,,,,,,,PER,45, ,,
FEL,Accrual,796646,,,,,,,,,SCK,0, ,,
FEL,Accrual,796646,,,,,,,,,ACC,0, ,,
FEL,Accrual,550499,2,,,,,,,,PER,36, ,,
FEL,Accrual,558006,2,,,,,,,,PER,44, ,,
FEL,Accrual,303909,2,,,,,,,,PER,19, ,,
FEL,Accrual,741651,2,,,,,,,,PER,40, ,,
FEL,Accrual,839313,2,,,,,,,,PER,45, ,,
FEL,Accrual,523451,2,,,,,,,,PER,27, ,,
FEL,Accrual,112307,2,,,,,,,,PER,18, ,,
FEL,Accrual,596120,2,,,,,,,,PER,34, ,,
FEL,Accrual,800383,2,,,,,,,,PER,54, ,,
K3T,Accrual,658099,2,,,,,,,,PER,40, ,,
FEL,Accrual,561321,2,,,,,,,,PER,45, ,,
FEL,Accrual,614933,2,,,,,,,,PER,18, ,,
FEL,Accrual,690600,2,,,,,,,,PER,45, ,,
FEL,Accrual,584438,2,,,,,,,,PER,6, ,,
FEL,Accrual,771086,2,,,,,,,,PER,40, ,,
FEL,Accrual,741699,2,,,,,,,,PER,45, ,,
FEL,Accrual,780955,2,,,,,,,,PER,40, ,,
FEL,Accrual,578115,2,,,,,,,,PER,26, ,,
FEL,Accrual,615170,2,,,,,,,,PER,62, ,,
FEL,Accrual,783294,,,,,,,,,SCK,0, ,,
FEL,Accrual,783294,,,,,,,,,ACC,0, ,,
FEL,Accrual,540401,2,,,,,,,,PER,45, ,,
FEL,Accrual,775827,2,,,,,,,,PER,40, ,,
FEL,Accrual,618758,2,,,,,,,,PER,36, ,,
K3T,Accrual,771901,2,,,,,,,,PER,40, ,,
FEL,Accrual,114555,2,,,,,,,,PER,45, ,,
FEL,Accrual,518278,2,,,,,,,,PER,43, ,,
FEL,Accrual,758876,2,,,,,,,,PER,45, ,,
FEL,Accrual,606556,2,,,,,,,,PER,36, ,,
FEL,Accrual,695028,2,,,,,,,,PER,45, ,,
FEL,Accrual,740467,2,,,,,,,,PER,45, ,,
FEL,Accrual,551579,2,,,,,,,,PER,45, ,,
FEL,Accrual,643439,2,,,,,,,,PER,40, ,,
K3W,Accrual,521974,2,,,,,,,,PER,40, ,,
FEL,Accrual,585255,2,,,,,,,,PER,18, ,,
FEL,Accrual,729888,2,,,,,,,,PER,9, ,,
FEL,Accrual,712453,2,,,,,,,,PER,40, ,,
FEL,Accrual,787887,2,,,,,,,,PER,40, ,,
FEL,Accrual,252937,2,,,,,,,,PER,45, ,,
K3T,Accrual,595684,2,,,,,,,,PER,16, ,,
FEL,Accrual,792321,2,,,,,,,,PER,40, ,,
FEL,Accrual,726763,2,,,,,,,,PER,25, ,,
FEL,Accrual,787973,2,,,,,,,,PER,40, ,,
FEL,Accrual,598236,2,,,,,,,,PER,16, ,,
FEL,Accrual,746561,2,,,,,,,,PER,40, ,,
FEL,Accrual,217951,2,,,,,,,,PER,40, ,,
FEL,Accrual,731075,2,,,,,,,,PER,45, ,,
FEL,Accrual,771681,2,,,,,,,,PER,45, ,,
FEL,Accrual,738336,2,,,,,,,,PER,40, ,,
FEL,Accrual,592802,2,,,,,,,,PER,38, ,,
FEL,Accrual,581004,2,,,,,,,,PER,45, ,,
FEL,Accrual,547624,2,,,,,,,,PER,9, ,,
FEL,Accrual,521060,2,,,,,,,,PER,18, ,,
FEL,Accrual,550625,2,,,,,,,,PER,40, ,,
FEL,Accrual,748427,2,,,,,,,,PER,40, ,,
FEL,Accrual,700546,2,,,,,,,,PER,40, ,,
FEL,Accrual,548596,2,,,,,,,,PER,18, ,,
FEL,Accrual,518430,2,,,,,,,,PER,40, ,,
FEL,Accrual,117435,2,,,,,,,,PER,40, ,,
FEL,Accrual,554460,2,,,,,,,,PER,45, ,,
FEL,Accrual,762676,,,,,,,,,PER,40, ,,
FEL,Accrual,642159,2,,,,,,,,PER,22, ,,
FEL,Accrual,522596,2,,,,,,,,PER,45, ,,
FEL,Accrual,780497,2,,,,,,,,PER,40, ,,
FEL,Accrual,764060,2,,,,,,,,PER,50, ,,
,Accrual,451669,2,,,,,,,,PER,40, ,,
FEL,Accrual,518846,2,,,,,,,,PER,45, ,,
FEL,Accrual,108522,2,,,,,,,,PER,40, ,,
FEL,Accrual,550142,2,,,,,,,,PER,45, ,,
FEL,Accrual,585956,2,,,,,,,,PER,40, ,,
,Accrual,548308,2,,,,,,,,PER,40, ,,
K3V,Accrual,233100,2,,,,,,,,PER,40, ,,
