Co Code,Batch ID,File #,Rate Code,Temp Dept,Reg Hours,O/T Hours,Hours 3 Code,Hours 3 Amount,Earnings 3 Code,Earnings 3 Amount,Memo Code,Memo Amount,Special Proc Code,Other Begin Date,Other End Date
,Legion,520658,,,18,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,567178,,,20,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,575347,,405,2,,,,,,WK,2, ,,
,Legion,575347,,,1,,,,,,WK,2, ,,
,Legion,575347,,128,2,,,,,,WK,2, ,,
,Legion,590977,,,17,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,590977,,,,,3SP,10,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,620171,,,7,,,,,,WK,1, ,,
,Legion,620171,,,,0.0,,,,,WK,1, ,,
,Legion,620171,,,,,3SP,33,,,WK,1, ,,
,Legion,620171,,,,,3PO,1.5,,,WK,1, ,,
,Legion,625206,,,15,,,,,,WK,1, ,,
,Legion,625206,,,,1,,,,,WK,1, ,,
,Legion,625206,,,,,RPT,4,,,WK,1, ,,
,Legion,702250,,,,,RP,7,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,702250,,,22,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,702250,,,,,RPT,2,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,702250,,,,,MP,1,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,702250,,,,,18,5,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,702250,,,,8,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,726962,,75000_ET,,,PDP,3,,,,, E,9/29/2024 12:00:00 AM,10/5/2024 12:00:00 AM
,Legion,744658,,,,,PDP,12.75,,,WK,1, ,,
,Legion,744658,,,,,PDP,3,,,WK,1, ,,
,Legion,764161,,,,,PDP,12.75,,,WK,1, ,,
,Legion,764161,,,,,PDP,3,,,WK,1, ,,
,Legion,765154,,,,,MP,6,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,765154,,,,,RP,6,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,765154,,,,8,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,765154,,,32,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,772335,,,40,,,,,,WK,1, ,,
,Legion,772335,,,,6.48,,,,,WK,1, ,,
,Legion,772335,,,40,,,,,,WK,2, ,,
,Legion,772335,,,,,RPT,2,,,WK,2, ,,
,Legion,772335,,,,,10,6,,,WK,2, ,,
,Legion,777181,,,6,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,777181,,410,8,,,,,,WK,1, ,,
,Legion,777426,,,,,PDP,12.75,,,WK,1, ,,
,Legion,777426,,,,,PDP,3,,,WK,1, ,,
,Legion,782135,,,2.91,,,,,,WK,1, ,,
,Legion,782135,,,,,RPT,1.08,,,WK,1, ,,
,Legion,794137,,,6.5,,,,,,WK,2, ,,
,Legion,794137,,,,,PDP,18.75,,,WK,2, ,,
,Legion,794137,,,,,PDP,4,,,WK,2, ,,
,Legion,796646,,,,,PPL,5,,,WK,1, ,,
,Legion,797663,,,,,PDP,3,,,WK,1, ,,
,Legion,797663,,,,,PDP,4.25,,,WK,1, ,,
,Legion,797663,,,16.66,,,,,,WK,1, ,,
,Legion,802060,,,33.5,,,,,,WK,1, ,,
,Legion,805441,,,38,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,807925,,,12,,,,,,,, E,10/6/2024 12:00:00 AM,10/12/2024 12:00:00 AM
,Legion,810047,,,,,PDP,17,,,WK,1, ,,
,Legion,810047,,,,,PDP,3,,,WK,1, ,,
,Legion,810047,,,8.5,,,,,,WK,1, ,,
,Legion,810663,,,14,,,,,,WK,1, ,,
,Legion,814573,,,18.35,,,,,,WK,1, ,,
,Legion,815739,,,1,,,,,,WK,2, ,,
,Legion,816706,,,10,,,,,,WK,1, ,,
,Legion,819309,,,37,,,,,,WK,1, ,,
,Legion,819309,,,,5,,,,,WK,1, ,,
,Legion,819309,,,,,10,3,,,WK,1, ,,
,Legion,823514,,,7,,,,,,WK,1, ,,
,Legion,826304,,,,,PDP,2,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,826304,,,11,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,826304,,,,,RTR,40,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,826590,,,23,,,,,,WK,1, ,,
,Legion,826590,,148,13,,,,,,WK,1, ,,
,Legion,828447,,,7.58,,,,,,WK,1, ,,
,Legion,828447,,,,,RPT,2.91,,,WK,1, ,,
,Legion,833176,,,,,SPL,1,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,833176,,,11,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,833321,,,,,H,6,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,833321,,,5,,,,,,WK,1, ,,
,Legion,835486,,,21,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,835486,,,,,H,7,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,835682,,,,,SPL,1,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,835682,,,13,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,835682,,,,,RPT,3,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,836386,,,,,PDP,2,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,836386,,,11,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,836386,,,,,RTR,1.25,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,837168,,,16,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,837168,,,40,,,,,,WK,1, ,,
,Legion,837168,,,,1,,,,,WK,1, ,,
,Legion,838212,,,7.5,,,,,,WK,1, ,,
,Legion,838241,,,16,,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,838241,,,,,RP,2,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,838241,,,,,MP,2,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,838241,,,,,18,3,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,838241,,,,4,,,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
,Legion,839779,,,,,PDP,2,,,WK,1, ,,
,Legion,839779,,,,,PDP,13,,,WK,1, ,,
,Legion,839779,,,16.5,,,,,,WK,1, ,,
,Legion,839779,,,,,PDP,2,,,WK,1, ,,
,Legion,839779,,,17.75,,,,,,WK,2, ,,
,Legion,839779,,,,,PDP,1,,,WK,2, ,,
,Legion,839779,,,,,PDP,21.12,,,WK,2, ,,
,Legion,839779,,,,,PDP,4,,,WK,2, ,,
,Legion,840774,,,6,,,,,,WK,1, ,,
,Legion,841806,,,1,,,,,,WK,1, ,,
,Legion,843078,,,,,PDP,5,,,WK,1, ,,
,Legion,843078,,,,,PDP,21.25,,,WK,1, ,,
,Legion,843078,,,17.5,,,,,,WK,1, ,,
,Legion,843078,,,,,PDP,5,,,WK,2, ,,
,Legion,843078,,,,,PDP,21.25,,,WK,2, ,,
,Legion,843078,,,8.5,,,,,,WK,2, ,,
,Legion,843509,,,7,,,,,,WK,2, ,,
,Legion,843509,,,,,PDP,18.75,,,WK,2, ,,
,Legion,843509,,,,,PDP,4,,,WK,2, ,,
,Legion,843942,,,40,,,,,,WK,2, ,,
,Legion,843942,,,,1.25,,,,,WK,2, ,,
,Legion,843942,,,,,PDP,5,,,WK,2, ,,
,Legion,843942,,,,,PDP,25.62,,,WK,2, ,,
,Legion,765154,,,,,SG,8,,,,, E,10/13/2024 12:00:00 AM,10/19/2024 12:00:00 AM
