Dates,Employee Id,Employee Name,Home location,Job title,Work location,Work role,Pay Type,Pay Name,Payroll Earning Code,Hours,Rate,Amount
08/04/2024 to 08/10/2024,9999911,Michael SoutherlandTest,9993,Store Manager (SM),9993,,Regular,,,11,0,0
08/11/2024 to 08/17/2024,9999911,Michael SoutherlandTest,9993,Store Manager (SM),9993,,Schedule Add Premium,,,0,0,15
08/04/2024 to 08/10/2024,9999911,Michael SoutherlandTest,9993,Store Manager (SM),9993,,Time Off,Vacation,Vacation,8,0,0
08/04/2024 to 08/10/2024,9999917,Nick MaldonadoTest,9993,Sales Associate (SA),9993,Store Guard,Regular,,,-4.5,0,0
08/04/2024 to 08/10/2024,9999917,Nick MaldonadoTest,9993,Sales Associate (SA),9993,,Schedule Add Premium,,,0,0,15
08/04/2024 to 08/10/2024,9999913,Paul FarandaTest,9993,Sales Associate (SA),9993,,Regular,,,7.25,0,0
08/04/2024 to 08/10/2024,9999919,Sincere CollierTest,9993,Security Guard,9993,,Regular,,,2.95,0,0
08/11/2024 to 08/17/2024,9999919,Sincere CollierTest,9993,Security Guard,9993,,Schedule Add Premium,,,0,0,15
08/04/2024 to 08/10/2024,9999919,Sincere CollierTest,9993,Security Guard,9993,,Other Pay,CustomPay,,3,0,0
08/11/2024 to 08/17/2024,9999919,Sincere CollierTest,9993,Security Guard,9993,,Reporting,Reporting Pay,CODE,1.06,0,0
